2024-02-17 11:38:52.411 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-02-17 11:38:52.459 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@577f9109{solr-jetty-context.xml,/solr,file:///Users/rezafitriaman/IdeaProjects/apache-solr-playground/solr-9.5.0/server/solr-webapp/webapp/,AVAILABLE}{/Users/rezafitriaman/IdeaProjects/apache-solr-playground/solr-9.5.0/server/solr-webapp/webapp}
2024-02-17 11:38:52.462 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened /Users/rezafitriaman/IdeaProjects/apache-solr-playground/solr-9.5.0/example/cloud/node2/logs/2024_02_17.request.log
2024-02-17 11:38:52.464 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@436390f4{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:7574}
2024-02-17 11:38:52.468 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@2bffa76d{STARTING}[10.0.19,sto=0] @1781ms
2024-02-17 11:38:53.370 INFO  (qtp515273883-27-localhost-1) [c: s: r: x: t:localhost-1] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=javabin&version=2} status=0 QTime=15
2024-02-17 11:38:53.383 INFO  (qtp515273883-19-localhost-2) [c: s: r: x: t:localhost-2] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/collections params={action=CLUSTERSTATUS&wt=javabin&version=2} status=0 QTime=5
2024-02-17 11:39:24.729 INFO  (qtp515273883-20-localhost-7) [c: s: r: x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.h.a.CoreAdminOperation core create command qt=/admin/cores&collection.configName=techproducts&newCollection=true&collection=techproducts&version=2&replicaType=NRT&coreNodeName=core_node7&name=techproducts_shard1_replica_n4&action=CREATE&numShards=2&shard=shard1&wt=javabin
2024-02-17 11:39:24.729 INFO  (qtp515273883-27-localhost-7) [c: s: r: x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.h.a.CoreAdminOperation core create command qt=/admin/cores&collection.configName=techproducts&newCollection=true&collection=techproducts&version=2&replicaType=NRT&coreNodeName=core_node3&name=techproducts_shard2_replica_n1&action=CREATE&numShards=2&shard=shard2&wt=javabin
2024-02-17 11:39:24.777 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
